Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AU,*,*,2485,2486,17,18,126.25,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,17,18,41.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,18,19,134,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,18,19,43.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,19,20,141.75,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,19,20,45.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,20,21,149.5,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,20,21,47.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2485,2486,21,22,157.25,"""""""AU POST Express""""""",""
AU,*,*,2485,2486,21,22,49.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,5,6,31.2,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,5,6,19.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,6,7,36.9,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,6,7,21.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,7,8,42.6,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,7,8,22.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,8,9,48.3,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,8,9,24.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,9,10,54,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,9,10,25.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,10,11,59.7,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,10,11,26.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,11,12,65.4,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,11,12,28.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,12,13,71.1,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,12,13,29.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,13,14,76.8,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,13,14,31.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,14,15,82.5,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,14,15,32.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,15,16,88.2,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,15,16,33.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,16,17,93.9,"""""""AU POST Express""""""",""
AU,*,*,2500,2530,16,17,35.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2500,2530,17,18,99.6,"""""""AU POST Express""""""",""
